# BanRep aggregate-remittance inflows (USD millions).
# Source: Banco de la Republica - "Ingresos de Remesas de trabajadores"
#         suameca.banrep.gov.co series id 4150, idPlan=REMESAS_TRIMESTRAL.
# Cadence (Rev-2 real-world constraint): QUARTERLY. No BanRep-published
#         monthly aggregate-inflow series exists; reference_period rows
#         therefore fall on quarter-end days. See Task-11 test file
#         docstring and contracts/data/banrep_mpr_sources.md for full
#         provenance and methodology notes.
# Compiled manually per Task 11 Rev-2 protocol (no public monthly API
#         available). Real BanRep values, not synthetic.
# Schema: reference_period (YYYY-MM-DD quarter-end), value_usd (float USD
#         millions), mpr_vintage_date (YYYY-MM-DD; BanRep fechaUltimoCargue
#         of the captured snapshot), source_url.
reference_period,value_usd,mpr_vintage_date,source_url
2000-03-31,374.94,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2000-06-30,379.23,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2000-09-30,388.89,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2000-12-31,434.98,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2001-03-31,417.46,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2001-06-30,530.46,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2001-09-30,470.82,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2001-12-31,602.65,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2002-03-31,499.46,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2002-06-30,583.93,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2002-09-30,691.55,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2002-12-31,678.77,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2003-03-31,681.51,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2003-06-30,749.30,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2003-09-30,798.82,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2003-12-31,830.46,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2004-03-31,708.76,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2004-06-30,756.57,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2004-09-30,760.09,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2004-12-31,944.49,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2005-03-31,731.13,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2005-06-30,803.26,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2005-09-30,851.47,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2005-12-31,927.86,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2006-03-31,855.89,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2006-06-30,992.61,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
