# Task 11.A Rev-3.1: COPM + cCOP/COPm daily on-chain flow fixture.
# Source: Dune query #7366593 (Task 11.A: Daily COPM + cCOP/COPm On-Chain Flow (Rev-3.1)).
# Dune execution ID: 01KPYR8NBKG4XV0V2VH55XJQ5F. Fetched via MCP dune tools.
# Celo on-chain transfers from stablecoins_multichain.transfers.
# COPM token address: 0xc92e8fc2947e32f2b574cca9f2f12097a71d5606 (Minteo).
# cCOP/COPm token address: 0x8a567e2ae79ca692bd748ab832081c45de4041ea
#   (symbol rename cCOP->COPm on 2026-01-25 at SAME address).
# Mint = from 0x000...0; Burn = to 0x000...0.
# Calendar forward-fill: missing-transfer days zero-filled (USD cols, integer cols).
# Pre-cCOP-launch (dates < 2024-10-31) cCOP cols are NaN by contract.
# See contracts/data/dune_onchain_sources.md for full provenance.
date,copm_mint_usd,copm_burn_usd,copm_unique_minters,ccop_usdt_inflow_usd,ccop_usdt_outflow_usd,ccop_unique_senders,source_query_ids
2024-09-17,237.797991,0.000000,1,,,,7366593
2024-09-18,0.000000,0.000000,0,,,,7366593
2024-09-19,0.000000,0.000000,0,,,,7366593
2024-09-20,0.000000,0.000000,0,,,,7366593
2024-09-21,0.000000,0.000000,0,,,,7366593
2024-09-22,0.000000,0.000000,0,,,,7366593
2024-09-23,0.000000,0.000000,0,,,,7366593
2024-09-24,0.000000,0.000000,0,,,,7366593
2024-09-25,0.000000,0.000000,0,,,,7366593
2024-09-26,0.000000,0.000000,0,,,,7366593
2024-09-27,0.000000,0.000000,0,,,,7366593
2024-09-28,0.000000,0.000000,0,,,,7366593
2024-09-29,0.000000,0.000000,0,,,,7366593
2024-09-30,0.000000,0.000000,0,,,,7366593
2024-10-01,0.000000,0.000000,0,,,,7366593
2024-10-02,0.000000,0.000000,0,,,,7366593
2024-10-03,28757.960381,0.000000,1,,,,7366593
2024-10-04,0.000000,0.000000,0,,,,7366593
2024-10-05,0.000000,0.000000,0,,,,7366593
2024-10-06,0.000000,0.000000,0,,,,7366593
2024-10-07,0.000000,0.000000,0,,,,7366593
2024-10-08,0.000000,0.000000,0,,,,7366593
2024-10-09,0.000000,0.000000,0,,,,7366593
2024-10-10,0.000000,24253.218516,0,,,,7366593
2024-10-11,0.000000,0.000000,0,,,,7366593
2024-10-12,0.000000,0.000000,0,,,,7366593
2024-10-13,0.000000,0.000000,0,,,,7366593
2024-10-14,0.000000,0.000000,0,,,,7366593
2024-10-15,0.000000,0.000000,0,,,,7366593
2024-10-16,0.000000,0.000000,0,,,,7366593
2024-10-17,0.000000,0.000000,0,,,,7366593
2024-10-18,0.000000,0.000000,0,,,,7366593
2024-10-19,0.000000,0.000000,0,,,,7366593
2024-10-20,0.000000,0.000000,0,,,,7366593
2024-10-21,0.000000,0.000000,0,,,,7366593
2024-10-22,41979.066751,0.000000,1,,,,7366593
2024-10-23,0.000000,0.000000,0,,,,7366593
2024-10-24,0.000000,0.000000,0,,,,7366593
2024-10-25,0.000000,0.000000,0,,,,7366593
2024-10-26,0.000000,0.000000,0,,,,7366593
2024-10-27,0.000000,0.000000,0,,,,7366593
2024-10-28,0.000000,0.000000,0,,,,7366593
2024-10-29,0.000000,0.000000,0,,,,7366593
2024-10-30,0.000000,0.000000,0,,,,7366593
2024-10-31,0.000000,0.000000,0,212.230594,0.904609,3,7366593
2024-11-01,0.000000,0.000000,0,82.682224,35.807233,4,7366593
2024-11-02,0.000000,0.000000,0,88.428166,44.584254,2,7366593
2024-11-03,0.000000,0.000000,0,20.747067,14.257909,5,7366593
2024-11-04,0.000000,0.000000,0,1993.935253,996.828992,2,7366593
2024-11-05,0.000000,0.000000,0,1260.671627,1160.283121,6,7366593
2024-11-06,0.000000,0.000000,0,3517.681382,3619.320475,10,7366593
2024-11-07,0.000000,0.000000,0,0.231307,0.231307,1,7366593
2024-11-08,0.000000,0.000000,0,47.143281,46.508051,3,7366593
2024-11-09,0.000000,0.000000,0,0.000000,0.000000,0,7366593
2024-11-10,0.000000,0.000000,0,0.924181,0.924181,2,7366593
2024-11-11,0.000000,0.000000,0,0.000000,0.000000,0,7366593
2024-11-12,0.000000,0.000000,0,0.000000,0.000000,0,7366593
2024-11-13,0.000000,0.000000,0,0.000000,0.000000,0,7366593
2024-11-14,0.000000,0.000000,0,0.000000,0.000000,0,7366593
2024-11-15,0.000000,0.000000,0,0.000000,0.000000,0,7366593
2024-11-16,0.000000,0.000000,0,0.000000,0.000000,0,7366593
2024-11-17,0.000000,0.000000,0,0.222268,0.222268,1,7366593
2024-11-18,0.000000,0.000000,0,0.000000,0.000000,0,7366593
2024-11-19,0.000000,0.000000,0,4.985492,0.000000,0,7366593
2024-11-20,0.000000,0.000000,0,0.000000,0.000000,0,7366593
2024-11-21,0.000000,0.000000,0,0.911099,0.911099,2,7366593
2024-11-22,0.000000,0.000000,0,241.792983,23.341873,5,7366593
2024-11-23,0.000000,0.000000,0,223.618344,138.306577,22,7366593
2024-11-24,0.000000,0.000000,0,23.897657,23.897657,3,7366593
2024-11-25,3420.947602,0.000000,1,71973.252550,38001.804981,8,7366593
2024-11-26,0.000000,0.000000,0,85.191795,68.422152,10,7366593
2024-11-27,0.000000,0.000000,0,5628.725413,2170.688407,7,7366593
2024-11-28,0.000000,0.000000,0,893.502451,893.502451,2,7366593
2024-11-29,6408.135475,0.000000,1,2176.597626,1877.585492,5,7366593
2024-11-30,0.000000,0.000000,0,11473.030812,9767.476139,14,7366593
2024-12-01,0.000000,0.000000,0,4776.154527,4776.154527,10,7366593
2024-12-02,6359.557635,0.000000,1,3796.386884,3796.386884,3,7366593
2024-12-03,3380.472139,0.000000,1,3340.985170,2238.659295,8,7366593
2024-12-04,3207.227555,0.000000,1,5628.008678,4005.001279,11,7366593
2024-12-05,0.000000,0.000000,0,10209.969913,10199.043607,24,7366593
2024-12-06,0.000000,0.000000,0,1883.541990,1883.541990,15,7366593
2024-12-07,0.000000,0.000000,0,1990.784921,1742.015937,6,7366593
2024-12-08,0.000000,0.000000,0,302.785969,384.765144,13,7366593
2024-12-09,10397.082667,0.000000,1,197.200053,197.200053,7,7366593
2024-12-10,0.000000,0.000000,0,356.686169,364.422463,14,7366593
2024-12-11,0.000000,0.000000,0,2143.667229,2144.693895,12,7366593
2024-12-12,0.000000,0.000000,0,9239.355241,11948.380309,18,7366593
2024-12-13,0.000000,0.000000,0,147924.397375,143033.206428,19,7366593
2024-12-14,0.000000,0.000000,0,5615.205343,6029.975080,8,7366593
2024-12-15,0.000000,0.000000,0,4183.523331,5294.036219,15,7366593
2024-12-16,7102.163701,7102.163701,1,3908.428545,3908.428545,9,7366593
2024-12-17,0.000000,0.000000,0,812.817083,810.823288,12,7366593
2024-12-18,0.000000,0.000000,0,829.335719,579.128996,10,7366593
2024-12-19,0.000000,0.000000,0,189.999110,188.005094,8,7366593
2024-12-20,0.000000,0.000000,0,43.496918,77.665483,7,7366593
2024-12-21,0.000000,0.000000,0,47.021512,47.021512,7,7366593
2024-12-22,0.000000,0.000000,0,4.253143,3.273438,2,7366593
2024-12-23,0.000000,0.000000,0,13.386552,12.564396,4,7366593
2024-12-24,0.000000,0.000000,0,11046.242744,5522.988364,9,7366593
2024-12-25,0.000000,0.000000,0,20.874445,20.874445,3,7366593
2024-12-26,0.000000,0.000000,0,89965.411735,60055.237171,11,7366593
2024-12-27,0.000000,0.000000,0,11803.992119,8024.720359,25,7366593
2024-12-28,0.000000,0.000000,0,22790.394365,19933.609038,15,7366593
2024-12-29,0.000000,0.000000,0,21854.269789,24537.058712,9,7366593
