address,n_inbound,inbound_wei,n_outbound,outbound_wei
0x6619871118d144c1c28ec3b23036fc1f0829ed3a,34162,3358617098181790343129880915,34848,3358617098181790343129880915
0x8c05ea305235a67c7095a32ad4a2ee2688ade636,29577,1697360363638151144288653970,30373,1697360363638151144288653970
0x5bd35ee3c1975b2d735d2023bd4f38e3b0cfc122,2785,5758129763481883343806780273,24911,5351805390506643839730458000
0x4495f525c4ecacf9713a51ec3e8d1e81d7dff870,3559,2216637632132807681492920574,3408,2190989730169479530234928554
0x20216f3056bf98e245562940e6c9c65ad9b31271,3148,220846101380813783175836047,3238,220846101380813783175836047
0x6a2ef55ad2ebca69a83f8c6b9fc7a165233ba5f8,4324,187530921870000000000000000,6,187530921870000000000000000
0xb961cdcaa602612f5fec09220dbd57ad38364a40,1604,211549624304053849902305252,1604,211549624304053849902305252
0x24fb013b6c8cc82e6bd2f5dcd32e279b9b050a2f,1457,204821243143407775371624164,1457,204821243143407775371624164
0x9f36a2c632af905bb2e3cdf99a214b4d72e3f4dc,1489,85188033570000000000000000,6,85188033570000000000000000
0xeaf297815ec765eecda15e3fd3509d5b2acaa272,1256,17959127495400000000000000,0,0
0x1c44db0fec0913a3f50eadcf956dacb075d7995e,1077,55923202320000000000000000,6,55923202320000000000000000
0x8ce318919438982514f9f479fdfb40d32c6ab749,884,31684002882750695564027,3,31684002882750695564027
0x9f2bb8b7dff141e1e35d05d6b8215ba8634ffce8,305,1002036188220187560735717331,580,1002036133306440556003559069
0xb39f92b7eb0bb3cb4a36bc6013ee608726f8b345,433,58249158935346227903037024,433,58249158935346227903037024
0xb52cff57cf94717193c63fbcdd50d09edee3fbf5,281,357090999154359364016053528,555,357090987636223425729253345
0x5f7635086d2f3215b5b486460d3676c46e51c6d0,344,58454862342194222826993664,344,58454862342194222826993664
0xd1ab3b81bc425c3921fee2219026db806ff6d982,345,53104966971787417041878267,326,53104966971787417041877972
0x631c419570e93971d1afee3e94653ff659045aad,531,3704276431122138457109,0,0
0xbdf779b50dafcac0b90bb4e954eb5bfe881b0e48,531,3018952653521579271736,0,0
0x84a700ce13b2594810e598fad6fe553201ddcc5f,491,18106367560000000000000000,0,0
0x92a28a7679e06a605fde197d62d63a1cf37512e5,235,54310395783934168534389596,247,54310395783934168534389596
0xcc9fb781f4c376cf3400099b7dc04543e922f069,228,37363801741434450124336934,228,37363801741434450124336934
0x49daf0279281c7bff6a3923ecac12fea14a60880,442,33982164370000000000000000,8,33982164370000000000000000
0xfb58f12a85fb3ed25320200b69b6a1c4ba399fc7,412,33749960310000000000000000,0,0
0xc7dd4c315f763dd923654e59fc3583893e550e23,410,21344267570000000000000000,0,0
0x643770e279d5d0733f21d6dc03a8efbabf3255b4,138,157570946174275291854167854,257,157570946174275291854167854
0x628d4b5077325bfe670b8a73d84f2666e88b81e2,177,17874920480272316186905463,177,17874913319922962774770270
0xd2b37ade14708bf18904047b1e31f8166d39612b,150,7909236125826731100903859,199,7909236125826731100903858
0x9e73a61781413083c6a6e847c3d9f6340ee68fa8,342,20519911030000000000000000,3,20519911030000000000000000
0xbb6cb4e3fc7ab30ac0f2bb2aeb10b35b180eb0a6,151,3813235310000000000000000000,190,3796658660000000000000000000
0xeb78af88aa0fb00b96f895ada74a9d29df66d7a2,194,15536646539228217848877151,134,15536567801799191347102724
0x0155b191ec52728d26b1cd82f6a412d5d6897c04,152,5305013525219653188086304764,161,5305013525219653188086304764
0xf9e41c21f27aea8780b39eca105ffaf328f1879a,152,876255796150811034350301,152,876255796150811034350300
0xeecc9dcd0aa0ebd965004027844b486cb90acc8e,167,7616170866715646439867770,121,7616170866715646439867770
0xb7ed729b92a561f2a4c82ded86ebc0c7a4c87bfe,264,85401206740000000000000000,12,85401206740000000000000000
0x0000000000000000000000000000000000000000,121,3942473948591542995207235322,146,4942950751219653188086304764
0x368c1eb7dd1055d7f0197796887e2f2ec93c92ae,257,14545791380000000000000000,6,14545791380000000000000000
0x2ffda54ae0adb1e49c690e4362078f72d5c34fc5,255,13758417890000000000000000,0,0
0xb933794db2f61feb6b3794822f61d41aa7ac85cb,238,36608822660000000000000000,3,36167872855682071713147410
0xa14d75b5bae0c4b8361484497ec9771910d5d6c8,234,24418450810000000000000000,0,0
0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,116,6177256160668827082683018,116,6177256160668827082683018
0x18fd99abaca47cda0cd3926965d84801cefd4466,226,29922632180000000000000000,3,29816276470807171314741035
0x8ca3c426764058249d7cf65b9364773c02fd514f,116,3431726467000000000000000000,111,3431726467000000000000000000
0xb3f62a7d7ee263b2bf2b0dfea72025191236e2de,222,20507189570000000000000000,3,19854068165437848605577689
0x87c8356f7c4e81b56614e70024f0c375014aaae2,190,10837541733500000000200000,9,10837541733500000000200000
0x8e37f8c1218191c5773f541bc880097f4e149db4,190,11373515000000000000000000,6,11373515000000000000000000
0x8d2b7e5501eb6d92f8e349f2febe785dd070be74,79,338946716905805691800510462,106,338946716905805691800510462
0x8f5e7b1d234fc71d34c972be0317d3e32d78d84c,179,34165794930000000000000000,6,34165794930000000000000000
0xdca3251ebe8f85458e8d95813bcb816460e4bef1,60,3638100147772625329316600,107,3638100147772625329316600
0xcb65937718dfbe82032cf03a1de990276341b0e5,163,8416748990000000000000000,4,990144979300000000000000
0x623a5d6ee31f49c8125a829d844c14296b86afc2,159,6192373440000000000000000,6,6192373440000000000000000
0x07f9edb9484966972a67f2513e3613daf22ad61c,160,30239883030000000000000000,3,29946935668155776892430278
0xbaba5522f627b06a721cbd7a447e95d15add0dd0,162,9725444970000000000000000,0,0
0xe3c04f014fe936eb4d723fa8427423ae1d8e2c0b,133,6107724250000000000000000,6,6107724250000000000000000
0x6c9794051396f45eecc9a857af5fdd14a687a1ac,129,24382053180000000000000000,9,24382053180000000000000000
0xcc7ac90a3dacac5ccf51e4de24ffce0aa689f8d4,61,196014286574548575912788785,74,196014286574548575912788785
0x2448d0e7bb40b9df4fbc3b64b31ec6923583fe86,126,9410111230000000000000000,8,9410111230000000000000000
0xbf689d10dd25ed86fc88611bd101f5f9e6bfb7cd,69,1132748142769771583338327611,65,1132748141833213106732698816
0xab80028751bcf488705d80147fb2ee4b58f3c1f2,118,19380428560000000000000000,9,19380428560000000000000000
0xa16102a2172d6dd60a2d7137af49810435dcdd28,121,5027415070000000000000000,6,5027415070000000000000000
