Periodo(MMM DD, AAAA)	Subasta - Intervención discrecional	Subasta - Compra directa	Subasta - Opciones put para control volatilidad	Subasta - Opciones call para control volatilidad	Subasta - Opciones put para acumulación de reservas internacionales - resumen del ejercicio	Subasta - Opciones call para desacumulación de reservas internacionales - resumen del ejercicio	Subastas de venta de dólares a través de contratos Non delivery forward (NDF)	Subasta de venta de dólares de contado a través de FX Swaps
1999/12/01					119.3			
1999/12/02					77			
1999/12/03					1.8			
1999/12/06					1.9			
2000/02/16					6			
2000/02/22					4			
2000/02/28					2			
2000/03/29					74			
2000/07/24					15.5			
2000/09/29					17.1			
2000/10/02					29.5			
2000/10/03					65.5			
2000/10/04					5			
2000/11/01					94			
2000/11/07					5			
2000/11/08					1			
2001/01/31					80			
2001/02/05					48.3			
2001/02/09					21			
2001/05/21					30			
2001/06/01					16.5			
2001/06/04					13.5			
2001/07/17					11.5			
2001/07/27					13.5			
2001/07/30					5			
2001/08/03					2.5			
2001/08/06					1.5			
2001/08/09					16			
2001/08/10					10			
2001/10/09					18.5			
2001/10/10					81.5			
2001/11/07					36			
2001/11/09					72.5			
2001/11/13					31.5			
2001/12/10					11			
2001/12/18					52.6			
2001/12/21					56.3			
2002/01/02					27.5			
2002/01/15					22.5			
2002/02/05					1.5			
2002/03/08					50			
2002/04/02					68			
2002/04/05					32			
2002/07/29				-117				
2002/07/31				-63				
2002/08/01				-69				
2002/08/02				-17				
2002/08/06				-23.5				
2002/10/02				-124.5				
2002/10/21					50			
2003/03/03						-20		
2003/03/04						-2		
2003/03/10						-43		
2003/03/19						-79.6		
2003/05/20						-199.9		
2003/07/02					6.2			
2003/12/10					100			
2004/01/06					200			
2004/01/14					180			
2004/01/15					20			
2004/04/02					82.8			
2004/04/06					16.2			
2004/04/07					26			
2004/04/12					50			
2004/04/14					25			
2004/06/03					65.5			
2004/06/04					86			
2004/06/07					15			
2004/06/17					33.5			
2004/07/01					141.2			
2004/07/02					25			
2004/07/09					13.5			
2004/07/14					20.2			
2004/08/03					130.5			
2004/08/06					37			
2004/08/09					9.2			
2004/08/13					1			
2004/08/19					0.7			
2004/08/20					1			
2004/08/23					20.4			
2004/09/07					178			
2004/09/08					22			
2004/09/21	1							
2004/09/23	0.75							
2004/10/11	7							
2004/10/12	30.4							
2004/10/13	2							
2004/10/14	49							
2004/10/19	2							
2004/10/20	1.25							
2004/10/21	9							
2004/10/22	25.2							
2004/10/25	12.15							
2004/10/26	2.75							
2004/10/27	4.8							
2004/10/28	0.5							
2004/11/02	13.8							
2004/11/04	59.45							
2004/11/05	28.15							
2004/11/08	14.7							
2004/11/09	7.25							
2004/11/10	76.5							
2004/11/11	3.55							
2004/11/12	34.1							
2004/11/16	9.85							
2004/11/17	64.5							
2004/11/18	25.68							
2004/11/19	1.5							
